[DOMAIN:标签] [CAT:二次元角色/作品] touhou | 东方
[DOMAIN:标签] [CAT:二次元角色/作品] ninomae_ina'nis | 一伊那尔栖
[DOMAIN:标签] [CAT:二次元角色/角色] scathach_(fate) | 斯卡哈（命运系列）
[DOMAIN:标签] [CAT:二次元角色/作品] mori_calliope | 森美声
[DOMAIN:标签] [CAT:二次元角色/角色] ryuujou_(kancolle) | 龙骧（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] omori | 奥伯里
[DOMAIN:标签] [CAT:二次元角色/作品] assault_lily | 突击莉莉
[DOMAIN:标签] [CAT:二次元角色/作品] cardcaptor_sakura | 魔卡少女樱
[DOMAIN:标签] [CAT:二次元角色/角色] tomoe_mami_(magical_girl) | 巴麻美（魔法少女）
[DOMAIN:标签] [CAT:二次元角色/角色] yuudachi_kai_ni_(kancolle) | 夕立改二（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] fire_emblem_engage | 火焰纹章Engage
[DOMAIN:标签] [CAT:二次元角色/作品] vento_aureo | 黄金之风
[DOMAIN:标签] [CAT:二次元角色/作品] hirasawa_yui | 平泽唯
[DOMAIN:标签] [CAT:二次元角色/角色] doctor_(arknights) | 博士（明日方舟）
[DOMAIN:标签] [CAT:二次元角色/角色] firefly_(honkai:_star_rail) | 流萤（崩坏：星穹铁道）
[DOMAIN:标签] [CAT:二次元角色/作品] minato_aqua | 凑阿库娅
[DOMAIN:标签] [CAT:二次元角色/角色] hoshino_(blue_archive) | 星野（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/角色] cookie_(touhou) | 琪露诺（东方Project）
[DOMAIN:标签] [CAT:二次元角色/作品] frieren | 芙莉莲
[DOMAIN:标签] [CAT:二次元角色/作品] yor_briar | 约尔·布莱尔
[DOMAIN:标签] [CAT:二次元角色/作品] megumin | 惠惠
[DOMAIN:标签] [CAT:二次元角色/角色] nahida_(genshin_impact) | 纳西妲（原神）
[DOMAIN:标签] [CAT:二次元角色/角色] mika_(blue_archive) | Mika（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/作品] wuthering_waves | 鸣潮
[DOMAIN:标签] [CAT:二次元角色/角色] trainer_(umamusume) | 训练员（赛马娘）
[DOMAIN:标签] [CAT:二次元角色/作品] guilty_gear_strive | 罪恶装备STRIVE
[DOMAIN:标签] [CAT:二次元角色/作品] hylian | 海利亚人
[DOMAIN:标签] [CAT:二次元角色/作品] idolmaster_million_live!_theater_days | 偶像大师百万现场！剧场时光
[DOMAIN:标签] [CAT:二次元角色/作品] breath_of_the_wild | 旷野之息
[DOMAIN:标签] [CAT:二次元角色/角色] toki_(blue_archive) | 时（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/作品] elden_ring | 艾尔登法环
[DOMAIN:标签] [CAT:二次元角色/角色] mona_(genshin_impact) | 莫娜（原神）
[DOMAIN:标签] [CAT:二次元角色/作品] gakuen_idolmaster | 学园偶像大师
[DOMAIN:标签] [CAT:二次元角色/角色] houshou_(kancolle) | 凤翔（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] dungeons_and_dragons | 龙与地下城
[DOMAIN:标签] [CAT:二次元角色/角色] miki_sayaka_(magical_girl) | 美树沙耶香（魔法少女）
[DOMAIN:标签] [CAT:二次元角色/作品] matoi_ryuuko | 缠流子
[DOMAIN:标签] [CAT:二次元角色/作品] toramaru_shou | 虎丸翔
[DOMAIN:标签] [CAT:二次元角色/作品] takamachi_nanoha | 高町奈叶
[DOMAIN:标签] [CAT:二次元角色/角色] jeanne_d'arc_(fate) | 贞德（Fate）
[DOMAIN:标签] [CAT:二次元角色/角色] serval_(kemono_friends) | 薮猫（兽娘动物园）
[DOMAIN:标签] [CAT:二次元角色/作品] pretty_series | 美丽系列
[DOMAIN:标签] [CAT:二次元角色/角色] dawn_(pokemon) | 小光（宝可梦）
[DOMAIN:标签] [CAT:二次元角色/作品] joseph_joestar | 乔瑟夫·乔斯达
[DOMAIN:标签] [CAT:二次元角色/作品] nekomata_okayu | 猫又小粥
[DOMAIN:标签] [CAT:二次元角色/角色] to_heart_(series) | 同班同学（系列）
[DOMAIN:标签] [CAT:二次元角色/作品] oshi_no_ko | 【我推的孩子】
[DOMAIN:标签] [CAT:二次元角色/角色] keqing_(genshin_impact) | 刻晴（原神）
[DOMAIN:标签] [CAT:二次元角色/作品] bakemonogatari | 化物语
[DOMAIN:标签] [CAT:二次元角色/作品] nanashi_mumei | 无名无名
[DOMAIN:标签] [CAT:二次元角色/角色] amiya_(arknights) | 阿米娅（明日方舟）
[DOMAIN:标签] [CAT:二次元角色/角色] saki_(manga) | 咲（漫画）
[DOMAIN:标签] [CAT:二次元角色/作品] sakura_miko | 樱巫女
[DOMAIN:标签] [CAT:二次元角色/作品] himekaidou_hatate | 姫海棠羽立
[DOMAIN:标签] [CAT:二次元角色/作品] yuzuki_yukari | 柚木 Yukari
[DOMAIN:标签] [CAT:二次元角色/作品] nishikino_maki | 西木野真姬
[DOMAIN:标签] [CAT:二次元角色/角色] makima_(chainsaw_man) | 玛奇玛（链锯人）
[DOMAIN:标签] [CAT:二次元角色/角色] amatsukaze_(kancolle) | 天津风（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/角色] lillie_(pokemon) | 莉莉艾（宝可梦）
[DOMAIN:标签] [CAT:二次元角色/作品] aerith_gainsborough | 爱丽丝·盖恩斯巴勒
[DOMAIN:标签] [CAT:二次元角色/作品] tokoyami_towa | 常暗永远
[DOMAIN:标签] [CAT:二次元角色/作品] high_school_dxd | 高校龙中龙
[DOMAIN:标签] [CAT:二次元角色/角色] murakumo_(kancolle) | 丛云（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/角色] pyra_(xenoblade) | 焰（异度神剑）
[DOMAIN:标签] [CAT:二次元角色/角色] byleth_(fire_emblem) | 贝雷特（火焰纹章）
[DOMAIN:标签] [CAT:二次元角色/作品] tainaka_ritsu | 田井中律
[DOMAIN:标签] [CAT:二次元角色/作品] karakasa_obake | 唐伞小僧
[DOMAIN:标签] [CAT:二次元角色/作品] kobayashi-san_chi_no_maidragon | 小林家的龙女仆
[DOMAIN:标签] [CAT:二次元角色/作品] kaku_seiga | 霍青娥
[DOMAIN:标签] [CAT:二次元角色/作品] tojo_nozomi | 东条希
[DOMAIN:标签] [CAT:二次元角色/作品] ouro_kronii | 欧罗·克罗尼
[DOMAIN:标签] [CAT:二次元角色/作品] gridman_universe | 古立特宇宙
[DOMAIN:标签] [CAT:二次元角色/作品] tiger_&_bunny | 老虎和兔子
[DOMAIN:标签] [CAT:二次元角色/作品] kafuu_chino | 香风智乃
[DOMAIN:标签] [CAT:二次元角色/作品] twilight | 暮光
[DOMAIN:标签] [CAT:二次元角色/角色] kaito_(vocaloid) | 海人（VOCALOID）
[DOMAIN:标签] [CAT:二次元角色/作品] eiyuu_densetsu | 英雄传说
[DOMAIN:标签] [CAT:二次元角色/作品] fallout | 辐射
[DOMAIN:标签] [CAT:二次元角色/作品] takanashi_kiara | 小鸟游琪亚拉
[DOMAIN:标签] [CAT:二次元角色/作品] kasane_teto | 重音テト
[DOMAIN:标签] [CAT:二次元角色/角色] aikatsu!_(series) | 偶像活动！（系列）
[DOMAIN:标签] [CAT:二次元角色/角色] okita_souji_(fate) | 冲田总司（Fate）
[DOMAIN:标签] [CAT:二次元角色/作品] apex_legends | Apex英雄
[DOMAIN:标签] [CAT:二次元角色/作品] sonoda_umi | 园田海未
[DOMAIN:标签] [CAT:二次元角色/作品] kinomoto_sakura | 木之本樱
[DOMAIN:标签] [CAT:二次元角色/角色] ushio_(kancolle) | 潮（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] murasa_minamitsu | 村纱水密
[DOMAIN:标签] [CAT:二次元角色/作品] kirby | 卡比
[DOMAIN:标签] [CAT:二次元角色/作品] shibuya_rin | 涩谷凛
[DOMAIN:标签] [CAT:二次元角色/作品] chun-li | 春丽
[DOMAIN:标签] [CAT:二次元角色/作品] alolan_form | 阿罗拉形态
[DOMAIN:标签] [CAT:二次元角色/角色] yukikaze_(kancolle) | 雪风（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/角色] yamato_(kancolle) | 大和（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] kujo_jotaro | 空条承太郎
[DOMAIN:标签] [CAT:二次元角色/角色] may_(pokemon) | 小遥（宝可梦）
[DOMAIN:标签] [CAT:二次元角色/作品] axis_powers_hetalia | 轴心国黑塔利亚
[DOMAIN:标签] [CAT:二次元角色/角色] atago_(kancolle) | 爱宕（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] ensemble_stars! | 偶像梦幻祭
[DOMAIN:标签] [CAT:二次元角色/作品] yazawa_nico | 矢泽妮可
[DOMAIN:标签] [CAT:二次元角色/作品] ayase_eli | 绚濑绘里
[DOMAIN:标签] [CAT:二次元角色/角色] shuten_douji_(fate) | 酒吞童子（Fate）
[DOMAIN:标签] [CAT:二次元角色/作品] hata_no_kokoro | 秦心
[DOMAIN:标签] [CAT:二次元角色/角色] shoukaku_(kancolle) | 翔鹤（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] oma_kokichi | 王马小吉
[DOMAIN:标签] [CAT:二次元角色/作品] northern_ocean_princess | 北冰洋公主
[DOMAIN:标签] [CAT:二次元角色/角色] tamamo_no_mae_(fate/extra) | 玉藻前（命运/冠位指定）
[DOMAIN:标签] [CAT:二次元角色/角色] koharu_(blue_archive) | 小春（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/角色] venti_(genshin_impact) | 温迪（原神）
[DOMAIN:标签] [CAT:二次元角色/作品] nagae_iku | 长濑伊玖
[DOMAIN:标签] [CAT:二次元角色/角色] rosa_(pokemon) | 芦荟（宝可梦）
[DOMAIN:标签] [CAT:二次元角色/角色] agnes_tachyon_(umamusume) | 艾尼斯迅捷（赛马娘）
[DOMAIN:标签] [CAT:二次元角色/作品] ibaraki_kasen | 茨华仙
[DOMAIN:标签] [CAT:二次元角色/角色] aris_(blue_archive) | 阿露丝（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/角色] akebono_(kancolle) | 曙（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] watson_amelia | 阿米莉亚·沃森
[DOMAIN:标签] [CAT:二次元角色/角色] sakura_kyoko_(magical_girl) | 佐仓杏子（魔法少女）
[DOMAIN:标签] [CAT:二次元角色/作品] metroid | 密特罗德
[DOMAIN:标签] [CAT:二次元角色/作品] princess_peach | 桃花公主
[DOMAIN:标签] [CAT:二次元角色/角色] mythra_(xenoblade) | 弥央（异度神剑）
[DOMAIN:标签] [CAT:二次元角色/作品] mahou_shoujo_lyrical_nanoha_a's | 魔法少女奈叶A's
[DOMAIN:标签] [CAT:二次元角色/角色] joseph_joestar_(young) | 乔瑟夫·乔斯达（青年）
[DOMAIN:标签] [CAT:二次元角色/角色] texas_(arknights) | 德克萨斯（明日方舟）
[DOMAIN:标签] [CAT:二次元角色/角色] stelle_(honkai:_star_rail) | 星（崩坏：星穹铁道）
[DOMAIN:标签] [CAT:二次元角色/角色] astolfo_(fate) | 阿斯托尔福（Fate）
[DOMAIN:标签] [CAT:二次元角色/角色] mari_(blue_archive) | 玛丽（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/角色] hilda_(pokemon) | 小优（宝可梦）
[DOMAIN:标签] [CAT:二次元角色/角色] marnie_(pokemon) | 玛俐（宝可梦）
[DOMAIN:标签] [CAT:二次元角色/作品] to_love-ru | 出包王女
[DOMAIN:标签] [CAT:二次元角色/角色] gawr_gura_(1st_costume) | 噶呜·古拉（第一套服装）
[DOMAIN:标签] [CAT:二次元角色/作品] soga_no_tojiko | 苏我屠自古
[DOMAIN:标签] [CAT:二次元角色/作品] kamisato_ayaka | 神里绫华
[DOMAIN:标签] [CAT:二次元角色/角色] paimon_(genshin_impact) | 派蒙（原神）
[DOMAIN:标签] [CAT:二次元角色/角色] gilgamesh_(fate) | 吉尔伽美什（Fate）
[DOMAIN:标签] [CAT:二次元角色/作品] elsword | 艾尔之光
[DOMAIN:标签] [CAT:二次元角色/作品] kita_ikuyo | 喜多郁代
[DOMAIN:标签] [CAT:二次元角色/作品] miyako_yoshika | 宫古芳香
[DOMAIN:标签] [CAT:二次元角色/角色] kisaki_(blue_archive) | 季咲（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/角色] kitakami_(kancolle) | 北上（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] kurodani_yamame | 黑谷山女
[DOMAIN:标签] [CAT:二次元角色/作品] samus_aran | 萨姆斯·阿兰
[DOMAIN:标签] [CAT:二次元角色/角色] nami_(one_piece) | 娜美（海贼王）
[DOMAIN:标签] [CAT:二次元角色/作品] kasodani_kyouko | 幽谷响子
[DOMAIN:标签] [CAT:二次元角色/作品] splatoon_1 | 斯普拉遁1
[DOMAIN:标签] [CAT:二次元角色/作品] matou_sakura | 间桐樱
[DOMAIN:标签] [CAT:二次元角色/角色] ooyodo_(kancolle) | 大淀（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] dead_or_alive | 生死格斗
[DOMAIN:标签] [CAT:二次元角色/作品] kumoi_ichirin | 云居一轮
[DOMAIN:标签] [CAT:二次元角色/角色] rice_shower_(umamusume) | 米浴（赛马娘）
[DOMAIN:标签] [CAT:二次元角色/角色] wanderer_(genshin_impact) | 流浪者（原神）
[DOMAIN:标签] [CAT:二次元角色/角色] klee_(genshin_impact) | 可莉（原神）
[DOMAIN:标签] [CAT:二次元角色/角色] darjeeling_(girls_und_panzer) | 大吉岭（少女与战车）
[DOMAIN:标签] [CAT:二次元角色/作品] girls_band_cry | 少女乐队哭
[DOMAIN:标签] [CAT:二次元角色/作品] clownpiece | 小丑派
[DOMAIN:标签] [CAT:二次元角色/作品] vspo! | 虚拟主播团体
[DOMAIN:标签] [CAT:二次元角色/作品] nishikigi_chisato | 锦木千束
[DOMAIN:标签] [CAT:二次元角色/作品] rensouhou-chan | 连装炮酱
[DOMAIN:标签] [CAT:二次元角色/作品] naruto_shippuuden | 火影忍者疾风传
[DOMAIN:标签] [CAT:二次元角色/角色] kazusa_(blue_archive) | 梓（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/角色] tartaglia_(genshin_impact) | 达达利亚（原神）
[DOMAIN:标签] [CAT:二次元角色/作品] komaeda_nagito | 狛枝凪斗
[DOMAIN:标签] [CAT:二次元角色/作品] kaguya-sama_wa_kokurasetai_~tensai-tachi_no_renai_zunousen~ | 辉夜大小姐想让我告白～天才们的恋爱头脑战～
[DOMAIN:标签] [CAT:二次元角色/作品] black_rock_shooter | 黑岩射手
[DOMAIN:标签] [CAT:二次元角色/作品] saihara_shuichi | 最原终一
[DOMAIN:标签] [CAT:二次元角色/作品] hoshii_miki | 星井美希
[DOMAIN:标签] [CAT:二次元角色/作品] watashi_ga_motenai_no_wa_dou_kangaetemo_omaera_ga_warui! | 我不受欢迎怎么想都是你们的错！
[DOMAIN:标签] [CAT:二次元角色/作品] disgaea | 魔界战记
[DOMAIN:标签] [CAT:二次元角色/作品] hiiragi_kagami | 柊镜
[DOMAIN:标签] [CAT:二次元角色/作品] watanabe_you | 渡边曜
[DOMAIN:标签] [CAT:二次元角色/作品] emiya_shirou | 卫宫士郎
[DOMAIN:标签] [CAT:二次元角色/角色] mordred_(fate) | 莫德雷德（Fate系列）
[DOMAIN:标签] [CAT:二次元角色/角色] rio_(blue_archive) | 里绪（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/作品] panty_&_stocking_with_garterbelt | 吊带袜天使
[DOMAIN:标签] [CAT:二次元角色/角色] mejiro_mcqueen_(umamusume) | 目白麦昆（赛马娘）
[DOMAIN:标签] [CAT:二次元角色/角色] cu_chulainn_(fate) | 库·丘林（Fate）
[DOMAIN:标签] [CAT:二次元角色/角色] jeanne_d'arc_(ruler)_(fate) | 贞德（裁定者）（Fate）
[DOMAIN:标签] [CAT:二次元角色/作品] kijin_seija | 鬼人正邪
[DOMAIN:标签] [CAT:二次元角色/作品] nishizumi_maho | 西住真穗
[DOMAIN:标签] [CAT:二次元角色/角色] karin_(blue_archive) | 花梨（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/角色] asashio_(kancolle) | 朝潮（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] clannad | 团子大家族
[DOMAIN:标签] [CAT:二次元角色/作品] hunter_x_hunter | 全职猎人
[DOMAIN:标签] [CAT:二次元角色/作品] suletta_mercury | 苏莱塔·墨丘利
[DOMAIN:标签] [CAT:二次元角色/角色] prinz_eugen_(kancolle) | 欧根亲王（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] macross_frontier | 超时空要塞F
[DOMAIN:标签] [CAT:二次元角色/作品] shirogane_noel | 白银诺艾尔
[DOMAIN:标签] [CAT:二次元角色/角色] daiwa_scarlet_(umamusume) | 大和赤骥（赛马娘）
[DOMAIN:标签] [CAT:二次元角色/角色] eula_(genshin_impact) | 优菈（原神）
[DOMAIN:标签] [CAT:二次元角色/角色] meiko_(vocaloid) | MEIKO（Vocaloid）
[DOMAIN:标签] [CAT:二次元角色/作品] sekibanki | 赤蛮奇
[DOMAIN:标签] [CAT:二次元角色/作品] ssss.gridman | SSSS.古立特
[DOMAIN:标签] [CAT:二次元角色/作品] inugami_korone | 狗神棕根
[DOMAIN:标签] [CAT:二次元角色/作品] sakamata_chloe | 坂垣 Chloe
[DOMAIN:标签] [CAT:二次元角色/作品] gundam_seed | 高达SEED
[DOMAIN:标签] [CAT:二次元角色/角色] minamoto_no_raikou_(fate) | 源赖光（Fate）
[DOMAIN:标签] [CAT:二次元角色/作品] darling_in_the_franxx | DARLING in the FRANXX
[DOMAIN:标签] [CAT:二次元角色/作品] gundam_00 | 高达00
[DOMAIN:标签] [CAT:二次元角色/角色] mutsu_(kancolle) | 陆奥（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/角色] shenhe_(genshin_impact) | 申鹤（原神）
[DOMAIN:标签] [CAT:二次元角色/作品] amane_kanata | 天音彼方
[DOMAIN:标签] [CAT:二次元角色/角色] junko_(touhou) | 纯狐（东方Project）
[DOMAIN:标签] [CAT:二次元角色/作品] oozora_subaru | 大空昴
[DOMAIN:标签] [CAT:二次元角色/作品] angel_beats! | Angel Beats!
[DOMAIN:标签] [CAT:二次元角色/角色] kafka_(honkai:_star_rail) | 卡芙卡（崩坏：星穹铁道）
[DOMAIN:标签] [CAT:二次元角色/角色] gold_ship_(umamusume) | 黄金船（赛马娘）
[DOMAIN:标签] [CAT:二次元角色/作品] itsumi_erika | 和泉绘理香
[DOMAIN:标签] [CAT:二次元角色/作品] kotobuki_tsumugi | 寿つむぎ
[DOMAIN:标签] [CAT:二次元角色/角色] kaban_(kemono_friends) | 背包（兽娘动物园）
[DOMAIN:标签] [CAT:二次元角色/作品] dio_brando | 迪奥·布兰度
[DOMAIN:标签] [CAT:二次元角色/作品] ookami_mio | 大神澪
[DOMAIN:标签] [CAT:二次元角色/作品] aki_minoriko | 秋穰子
[DOMAIN:标签] [CAT:二次元角色/作品] queen's_blade | 女王之刃
[DOMAIN:标签] [CAT:二次元角色/角色] asuna_(bunny)_(blue_archive) | 明日奈（兔女郎）（蔚蓝档案）
[DOMAIN:标签] [CAT:二次元角色/角色] gloria_(pokemon) | 索妮亚（宝可梦）
[DOMAIN:标签] [CAT:二次元角色/作品] dokidoki!_precure | 心跳！光之美少女
[DOMAIN:标签] [CAT:二次元角色/角色] kayoko_(blue_archive) | 桐野（蓝色档案）
[DOMAIN:标签] [CAT:二次元角色/作品] morrigan_aensland | 莫莉卡·安斯兰
[DOMAIN:标签] [CAT:二次元角色/作品] izumi_konata | 泉此方
[DOMAIN:标签] [CAT:二次元角色/作品] pokemon_trainer | 宝可梦训练师
[DOMAIN:标签] [CAT:二次元角色/作品] hieda_no_akyuu | 稗田阿求
[DOMAIN:标签] [CAT:二次元角色/角色] tatsuta_(kancolle) | 龙田（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/作品] tsukino_usagi | 月野兔
[DOMAIN:标签] [CAT:二次元角色/角色] female_admiral_(kancolle) | 女性提督（舰队Collection）
[DOMAIN:标签] [CAT:二次元角色/角色] byleth_(female)_(fire_emblem) | 贝蕾丝（女性）（火焰纹章）
[DOMAIN:标签] [CAT:二次元角色/角色] archer_(fate) | 弓兵（命运系列）
[DOMAIN:标签] [CAT:二次元角色/作品] love_live!_superstar!! | 爱与演唱会！超级明星！！
[DOMAIN:标签] [CAT:二次元角色/作品] minami_kotori | 南小鸟
[DOMAIN:标签] [CAT:二次元角色/作品] phantasy_star | 梦幻之星
[DOMAIN:标签] [CAT:二次元角色/作品] c.c. | C.C.
[DOMAIN:标签] [CAT:二次元角色/作品] tekken | 铁拳
[DOMAIN:标签] [CAT:二次元角色/角色] skadi_(arknights) | 斯卡蒂（明日方舟）
[DOMAIN:标签] [CAT:二次元角色/角色] bb_(fate) | BB（Fate）
[DOMAIN:标签] [CAT:二次元角色/作品] hinata_hajime | 日向创
[DOMAIN:标签] [CAT:二次元角色/作品] mushoku_tensei | 无职转生
